,store,sido,gungu,store_address
83,경기고양시중산점,경기도,고양시,경기 고양시 일산동구 탄중로 417번길7-3
84,경기양주시송추점,경기도,양주시,경기 양주시 장흥면 호국로 569
85,서울중랑구묵2동점,서울특별시,중랑구,서울 중랑구 동일로 163길36
86,경기고양시라페스타점,경기도,고양시,경기 고양시 일산동구 무궁화로 7-45
87,경기파주시봉일천점,경기도,파주시,경기 파주시 조리읍 송비말길 22
88,서울동대문구용두1호점,서울특별시,동대문구,서울 동대문구 정릉천동로 58
89,경기포천시양문점,경기도,포천시,경기 포천시 영중면 양문로 87-1
90,서울마포구망원점,서울특별시,마포구,서울 마포구 포은로 68
91,서울노원구공릉점,서울특별시,노원구,서울 노원구 공릉로 42길21
92,서울동대문구신이문점,서울특별시,동대문구,서울 동대문구 한천로 421-1
93,서울노원구상계마들점,서울특별시,노원구,서울 노원구 한글비석로 54길116
94,경기파주시문산점,경기도,파주시,경기 파주시 문산읍 문향로 30
95,경기고양시성석점,경기도,고양시,경기 고양시 일산동구 고봉로 604-32동101호
96,서울성북구보문점,서울특별시,성북구,서울 성북구 보문로 47
97,경기고양시행신3점,경기도,고양시,경기 고양시 덕양구 화신로 101상가동103호
98,서울서대문구이대역점,서울특별시,서대문구,서울 서대문구 연세로 2길84
99,서울중랑구망우점,서울특별시,중랑구,서울 중랑구 용마산로 493
100,경기고양시식사동점,경기도,고양시,경기 고양시 일산동구 위시티3로 53-5
101,경기양주시고읍지구점,경기도,양주시,경기 양주시 고읍로 35번길29-7
102,서울광진구화양점,서울특별시,광진구,서울 광진구 아차산로 21길43
103,경기연천군연천점,경기도,연천군,경기 연천군 연천읍 연천로 330
104,경기고양시주엽1점,경기도,고양시,경기 고양시 일산서구 대산로 58
105,서울광진구자양2점,서울특별시,광진구,서울 광진구 뚝섬로 52가길6
106,서울광진구어린이대공원점,서울특별시,광진구,서울 광진구 광나루로 521
107,서울은평구역촌점,서울특별시,은평구,서울 은평구 역말로 7길3-2
108,서울강북구수유점,서울특별시,강북구,서울 강북구 삼양로 74길18
109,경기포천시이동점,경기도,포천시,경기 포천시 이동면 장암1길9-1
110,서울은평구신사점,서울특별시,은평구,서울 은평구 증산로 17길8-1
111,서울강북구삼각산점,서울특별시,강북구,서울 강북구 삼양로 19길74
112,경기동두천시송내지구점,경기도,동두천시,경기 동두천시 동두천로 149
113,서울중랑구면목1동점,서울특별시,중랑구,서울 중랑구 사가정로 49길43
114,서울노원구상계2점,서울특별시,노원구,서울 노원구 상계로 9가길17
115,경기양주시덕정점,경기도,양주시,경기 양주시 화합로 1402번길24-50
116,서울도봉구방학1점,서울특별시,도봉구,서울 도봉구 도당로 27길20
117,경기고양시대화점,경기도,고양시,경기 고양시 일산서구 강성로 214번길16-4
118,서울성북구동소문점,서울특별시,성북구,서울 성북구 아리랑로 5길39
119,경기의정부시장암점,경기도,의정부시,경기 의정부시 장곡로 322번길14-9
120,서울동대문구청량리점,서울특별시,동대문구,서울 동대문구 홍릉로 50
121,경기포천시내촌점,경기도,포천시,경기 포천시 내촌면 내촌로 26
122,서울도봉구방학2점,서울특별시,도봉구,서울 도봉구 방학로 117
123,경기연천군백학점,경기도,연천군,경기 연천군 백학면 두백로 11-6
124,경기양주시백석점,경기도,양주시,경기 양주시 백석읍 호명로 22
125,경기의정부시신곡점,경기도,의정부시,경기 의정부시 시민로 176
126,서울성북구장위2동점,서울특별시,성북구,서울 성북구 돌곶이로 27길59-3
127,서울성북구석관점(B),서울특별시,성북구,서울 성북구 한천로 76길20
128,서울성동구한양점,서울특별시,성동구,서울 성동구 마조로 59
129,경기포천시일동점,경기도,포천시,경기 포천시 일동면 화동로 1063번길1-2
130,서울성북구월곡점,서울특별시,성북구,서울 성북구 오패산로 46
131,서울성동구금호점,서울특별시,성동구,서울 성동구 독서당로 315-4
132,서울은평구응암점,서울특별시,은평구,서울 은평구 응암로 286
133,서울동대문구전농2점,서울특별시,동대문구,서울 동대문구 답십리로 23길9
134,경기고양시행신2점,경기도,고양시,경기 고양시 덕양구 무원로 6무원빌딩111호
135,경기의정부시금오점,경기도,의정부시,경기 의정부시 하금로 25번길5
136,경기고양시백마점,경기도,고양시,경기 고양시 일산동구 경의로 309
137,경기고양시덕이점,경기도,고양시,경기 고양시 일산서구 탄중로 101번길60
138,서울종로구창신점(B),서울특별시,종로구,서울 종로구 지봉로 62
139,경기의정부시호원점,경기도,의정부시,경기 의정부시 평화로 428번길14
140,경기파주시광탄점,경기도,파주시,경기 파주시 광탄면 새뜰길 7
141,경기동두천시중앙점,경기도,동두천시,경기 동두천시 동광로 81번길15
142,서울광진구중곡2점,서울특별시,광진구,서울 광진구 동일로 64길14
143,경기고양시신원점,경기도,고양시,경기 고양시 덕양구 권율대로 831103
144,서울광진구자양점,서울특별시,광진구,서울 광진구 능동로 10길109
145,서울마포구서교점,서울특별시,마포구,서울 마포구 월드컵북로 7길11
146,서울강북구번동점,서울특별시,강북구,서울 강북구 오현로 31길129
147,서울마포구성산점,서울특별시,마포구,서울 마포구 월드컵북로 27길19
148,서울동대문구휘경1점,서울특별시,동대문구,서울 동대문구 한천로 244-11
149,서울서대문구남가좌점,서울특별시,서대문구,서울 서대문구 증가로 10길5
150,서울마포구광흥창역점,서울특별시,마포구,서울 마포구 독막로 156
151,경기의정부시망월사역점,경기도,의정부시,경기 의정부시 평화로 196
152,서울광진구군자송정점,서울특별시,광진구,서울 광진구 동일로 52길15
153,경기의정부시가능3점,경기도,의정부시,경기 의정부시 호국로 1135번길25
154,서울성북구길음점,서울특별시,성북구,서울 성북구 삼양로 12길5
155,경기포천시송우점,경기도,포천시,경기 포천시 소흘읍 봉솔로3길17
156,경기고양시관산점,경기도,고양시,경기 고양시 덕양구 통일로 780번길16
157,서울노원구하계1점,서울특별시,노원구,서울 노원구 공릉로 59가길28
158,서울마포구상암점(B),서울특별시,마포구,서울 마포구 월드컵북로 47길46
159,서울서대문구연희점,서울특별시,서대문구,서울 서대문구 연희로 90
160,경기파주시금촌2동점,경기도,파주시,경기 파주시 황골로 69
161,서울용산구숙대점,서울특별시,용산구,서울 용산구 청파로 333
162,경기고양시고양동점,경기도,고양시,경기 고양시 덕양구 혜음로 56
163,서울중구중림점,서울특별시,중구,서울 중구 중림로 10
164,서울용산구이촌점,서울특별시,용산구,서울 용산구 이촌로 46
165,경기고양시화정2점,경기도,고양시,경기도 고양시 덕양구 화정로 86
