,store,sido,gungu,store_address
40,구남역점,부산광역시,북구,부산광역시 북구 백양대로 1015번길 15(구포동)
41,이천점,경기도,이천시,경기도 이천시 관고동 12-4
42,부곡점,부산광역시,금정구,부산광역시 금정구 동현로 23(부곡동)
43,석산점,경상남도,양산시,경상남도 양산시 동면 금오7길 24
44,문현1동점,부산광역시,남구,부산광역시 남구 고동골로 66
45,양정1호점,부산광역시,부산진구,부산광역시 부산진구 양지로 5번길 20(양정동)
46,통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21
47,상동점,경상남도,거제시,경남 거제시 거제중앙로3길 14-2(상동동)
48,반송2호점,부산광역시,해운대구,부산광역시 해운대구 아랫반송로 51
49,소사벌점,경기도,평택시,경기도 평택시 비전동 1053
50,동탄중앙점,경기도,화성시,경기도 화성시 동탄산척로 2나길 6-7 (산척동)
51,항구영일대점,경상북도,포항시,경상북도 포항시 북구 아호로 3
52,반야월점,대구광역시,동구,대구광역시 동구 안심로41길 47
53,테크노폴리스점,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 326-35
54,비전점,경기도,평택시,경기도 평택시 중앙로235 (비전동)
55,능곡점,경기도,시흥시,경기도 시흥시 능곡중앙로77
56,비산점,경기도,안양시,경기도 안양시 동안구 평촌대로408 (비산동)
57,부곡점,경기도,의왕시,경기도 의왕시 삼동 150-16
58,홍성점,충청남도,홍성군,충남 홍성군 홍성읍 충절로1053번길 41
59,율량사천점,충청북도,청주시,충북 청주시 청원구 율량로190번길19
60,증평점,충청북도,증평군,충북 증평군 증평읍 문화로83
61,송강테크로점,전라남도,여수시,대전시 유성구 구즉로48번길10
62,몰운대롯데캐슬점,부산광역시,사하구,부산광역시 사하구 다대낙조2길 100
63,옥포돌미점,대구광역시,달성군,대구시 달성군 옥포면 돌미상업로2길 26
64,영양점,경상북도,영양군,경상북도 영양군 영양읍 중앙로 111
65,대도점,경상북도,포항시,경상북도 포항시 남구 대도동 163-1
66,대합공단점,경상남도,창녕군,경남 창녕군 대합면 대합산업단지로 119-15
67,배곧점,경기도,시훙시,경기도 시훙시 배곧4로32-27
68,광주점,경기도,광주시,경기도 광주시 송정동111-1
69,신하점,경기도,이천시,경기도 이천시 부발읍 신하리 432-15
70,관양점,경기도,안양시,경기도 안양시 동안구 관양동 1429-12
71,중동점,경기도,부천시,경기도 부천시 원미구 부흥로 272번길 22
72,조암점,경기도,화성시,경기도 화성시 장안면 기아자동차로 789 103호
73,정왕점,경기도,시흥시,경기도 시흥시 정왕동 1193-14
74,일죽점,경기도,파주시,경기도 안성시 일죽면 송천리 18
75,인계점,경기도,수원시,경기도 수원시 팔달구 인계동 1008-9
76,이천사동점,경기도,이천시,경기도 이천시 대월면 사동리 182-2
77,은행점,경기도,시흥시,경기도 시흥시 시흥대로 1074번길 28
78,월곶점,경기도,시흥시,경기도 시흥시 월곶동 995
79,원곡점,경기도,안성시,경기도 안성시 원곡면 만세로 1058
80,우만점,경기도,수원시,경기도 수원시 팔달구 세지로421번길 37 (우만동)
81,호법점,충청북도,청주시,경기도 이천시 호법면 후안리 267-4
82,하안8점,경기도,광명시,경기도 광명시 하안동 260-2 8단지상가 104-2
83,하안12점,경기도,광명시,경기도 광명시 하안동 62-4  1층 3호
84,하안11점,경기도,광명시,경기도 광명시 하안동 30-5  10 단지상가  104
85,포일내손점,경기도,의왕시,경기도 의왕시 내손동652-15
86,포도원,경기도,안양시,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107
87,평촌5점,경기도,안양시,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110
88,태전점,경기도,광주시,경기도 광주시 태전동 688-1
89,철산점,경기도,광명시,경기도 광명시 철산동 240  주공13단지 상가동
90,철산2점,경기도,광명시,경기도 광명시 연서로2번길 11
91,천리점,경기도,용인시,경기도 용인시 이동면 천리 56-6
92,중앙대,경기도,안성시,경기도 안성시 대덕면 내리 682-3
93,안양중앙점,경기도,안양시,경기도 안양시 만안구 안양동 711-815
94,안양2점,경기도,안양시,경기도 안양시 만안구 안양동 873-162
95,안성점,경기도,안성시,경기도 안성시 도기 4길 9(도기동)
96,신흥산성점,경기도,성남시,경기도 성남시 수정구 수정남로 305번길11.103호
97,신천리점,경기도,시흥시,경기도 시흥시 호현로49번안길 1(대야동)
98,신갈점,경기도,용인시,경기도 용인시 기흥구 신구로 38 청솔학원
99,송내우성,경기도,부천시,경기도 부천시 소사구 송내동 336-15
100,소사점,경기도,부천시,경기도 부천시 소사구 소사로202번길 27
101,성포점,경기도,안산시,경기도 안산시 상록구 성포동 592-2
102,석수엘지점,경기도,안양시,경기도 안양시 만안구 석수동 415-2 엘지빌리지 상가
103,샘마을점,경기도,안양시,경기도 안양시 동안구 호계동 1116 샘마을상가 1층
104,삼보점,경기도,시흥시,경기도 시흥시 대야동 275 삼보상가 1층 1호
105,산본점,경기도,군포시,경기도 군포시 산본동 1069-3 (1층)
106,북리점,경기도,용인시,경기도 용인시 처인구 남사면 북리 680-13
107,북내점,경기도,여주시,경기도 여주시 북내면 여양2로 274
108,케이준 부곡점,경기도,안산시,경기도 안산시 상록구 성호로340
109,보정점,경기도,용인시,경기도 용인시 기흥구 죽현로 8-20 130(보정동
110,범계점,경기도,안양,경기도 안양 동안 비산 1102 관악타운 상가122
111,백암점,경기도,용인시,경기도 용인시 처인구 백암면 백암리 391번지
112,백사점,경기도,이천시,경기도 이천시 백사면 현방리 67-12
113,박달점,경기도,안양시,경기도 안양시 만안구 박달동 149-1
114,미양점,경기도,안성시,경기도 안성시 미양면 보체리 405 상가 501동 101호
115,모현점,경기도,용인시,경기도 용인시 처인구 모현면 일산리112-82
116,만선점,경기도,광주시,경기도 광주시 곤지암읍 만선로 45
117,둔전점,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 118번길 24-11
118,대림동산점,경기도,안성시,경기도 안성시 공도읍 가족공원길 26
119,능평점,경기도,광주시,경기도 광주시 오포읍 수레실길 5
120,금정점,경기도,군포시,경기도 군포시 금정동 79-1 1층
121,군포점,경기도,군포시,경기도 군포시 당동 914-5번지
122,구성점,경기도,용인시,경기도 용인시 기흥구 구성로 186(언남동
123,광명2점,경기도,광명시,경기도 광명시 광명동 158-240 1층
124,공도점,경기도,안성시,경기도 안성시 공도읍 고무다리길 3
125,거모점,경기도,시흥시,경기도 시흥시 군자로504번안길 12(거모동)
126,갈산점,경기도,이천시,경기도 이천시 갈산로 87번길 4(갈산동)
127,가남점,경기도,여주시,경기도 여주시 가납읍 태평중앙1길 8-10
128,한솔새롬점,세종특별자치시,누리로28,세종시 누리로28
129,금정산SK점,부산광역시,금정구,부산광역시 금정구 식물원로 82
130,평촌2점,경기도,안양시,경기도 안양시 동안구 평촌대로127번길 38
131,목감점,경기도,시흥시,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지
132,시화계룡점,경기도,시흥시,경기도 시흥시 중심상가로 127
133,시화3점,경기도,시흥시,경기도 시흥시 정왕대로28번길 31 
134,시화2점,경기도,시흥시,경기도 시흥시 옥구천서로373번길 43
135,연지점,부산광역시,부산진구,부산광역시 부산진구 새싹로 184
136,신라대점,부산광역시,사상구,부산광역시 사상구 백양대로 703
137,연제점,부산광역시,연제구,부산광역시 연제구 거제천로 183(거제동)
138,정관롯데캐슬점,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52
139,호계2점,경기도,안양시,경기도 안양시 동안구 호계동 912-2
140,향남2점,경기도,화성시,경기도 화성시 향남읍 신광길 19. 102호
141,위례점,경기도,성남시,경기도 성남시 수정구 위례순환로 4길 34(창곡동)
142,신림역점,서울특별시,관악구,서울특별시 관악구 신림동길 40
143,동삭점,경기도,평택시,경기도 평택시 동삭로 397 상가동 104
144,길동점,서울특별시,강동구,서울시 강동구 길동 99-1
145,괴안점,경기도,부천시,경기도 부천시 소사 괴안동 89-1
146,곤지암점,경기도,광주시,경기 광주시 곤지암읍 곤지암리 435-91
147,고강점,경기도,부천시,경기도 부천시 오정구 원종로 122
148,덕진하가점,전라북도,전주시,전북 전주시 덕진구 가리내5길 16 103호(덕진동2가)
149,삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4(삼방동)
150,북정점,경상남도,양산시,경상남도 양산시 북정로 101(북정동)
151,산하1호점,울산광역시,북구,울산광역시 북구 화암6길 14
152,부곡월산점,경상남도,김해시,경상남도 김해시 월산로 111-67
153,괘법한신점,부산광역시,사상구,부산광역시 사상구 광장로 37번길 82
154,아주점,경상남도,거제시,경남 거제시 아주1로1길 7-2
155,오동동점,경상남도,창원시,경남 창원시 마산합포구 오동동10길 15(오동동)
156,예산점,충청남도,예산군,충남 예산군 예산읍 역전로 160번길 16. 1층 107
157,대소점,충청북도,음성군,충북 음성군 대소면 오태로 75-1
158,옥포돌미점,경상남도,창녕군,경상남도 창녕군 대합면 대합산업단지로 119-15
159,대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142
160,진천장관점,충청북도,진천군,충북 진천군 진천읍 장관2길 139-1
